Tag;Datum;Zeit;Home;Away;Resultat;OT/SO;Phase
Di;17.09.2024;19:45;HC Ambri-Piotta;SC Rapperswil-Jona Lakers; 3:4;OT;Regular Season
Di;17.09.2024;19:45;EHC Biel-Bienne;ZSC Lions; 1:3;;Regular Season
Di;17.09.2024;19:45;HC Davos;EHC Kloten; 2:3;SO;Regular Season
Di;17.09.2024;19:45;Fribourg-Gottéron;HC Ajoie; 4:1;;Regular Season
Di;17.09.2024;19:45;Lausanne HC;Genève-Servette HC; 2:1;;Regular Season
Di;17.09.2024;19:45;EV Zug;HC Lugano; 3:2;;Regular Season
Mi;18.09.2024;19:45;SC Bern;SCL Tigers; 3:1;;Regular Season
Do;19.09.2024;20:00;HC Lugano;HC Davos; 4:2;;Regular Season
Fr;20.09.2024;19:45;HC Ajoie;Lausanne HC; 3:6;;Regular Season
Fr;20.09.2024;19:45;EHC Kloten;SC Bern; 2:1;SO;Regular Season
Fr;20.09.2024;19:45;SC Rapperswil-Jona Lakers;EHC Biel-Bienne; 3:2;;Regular Season
Fr;20.09.2024;19:45;SCL Tigers;Fribourg-Gottéron; 4:2;;Regular Season
Fr;20.09.2024;19:45;ZSC Lions;HC Ambri-Piotta; 5:4;OT;Regular Season
Sa;21.09.2024;19:45;HC Ambri-Piotta;EHC Kloten; 3:2;SO;Regular Season
Sa;21.09.2024;19:45;SC Bern;ZSC Lions; 2:3;SO;Regular Season
Sa;21.09.2024;19:45;EHC Biel-Bienne;HC Ajoie; 4:1;;Regular Season
Sa;21.09.2024;19:45;HC Davos;Genève-Servette HC; 3:2;OT;Regular Season
Sa;21.09.2024;19:45;Fribourg-Gottéron;SC Rapperswil-Jona Lakers; 1:2;OT;Regular Season
Sa;21.09.2024;19:45;Lausanne HC;HC Lugano; 2:4;;Regular Season
Sa;21.09.2024;19:45;EV Zug;SCL Tigers; 6:2;;Regular Season
Di;24.09.2024;19:45;Fribourg-Gottéron;EHC Biel-Bienne; 2:3;SO;Regular Season
Di;24.09.2024;19:45;EHC Kloten;Lausanne HC; 3:1;;Regular Season
Di;24.09.2024;19:45;SC Rapperswil-Jona Lakers;HC Ajoie; 6:2;;Regular Season
Di;24.09.2024;19:45;HC Lugano;SC Bern; 6:4;;Regular Season
